;Name;n;m;directed;dmax;davg;download_link
0;South African companies;11;13;False;4;2.36364;http://konect.cc/files/download.tsv.brunson_south-africa.tar.bz2
1;Southern women (small);10;14;False;3;2.8;http://konect.cc/files/download.tsv.brunson_southern-women.tar.bz2
2;HIV;40;41;False;8;2.05;http://konect.cc/files/download.tsv.hiv.tar.bz2
3;Zachary karate club;34;78;False;17;4.58824;http://konect.cc/files/download.tsv.ucidata-zachary.tar.bz2
4;Highland tribes;16;58;False;10;7.25;http://konect.cc/files/download.tsv.ucidata-gama.tar.bz2
5;Taro exchange;22;78;True;12;7.09091;http://konect.cc/files/download.tsv.moreno_taro.tar.bz2
6;Southern women (large);32;89;False;14;5.5625;http://konect.cc/files/download.tsv.opsahl-southernwomen.tar.bz2
7;Zebra;27;111;False;14;8.22222;http://konect.cc/files/download.tsv.moreno_zebra.tar.bz2
8;Corporate club memberships;40;95;False;21;4.75;http://konect.cc/files/download.tsv.brunson_club-membership.tar.bz2
9;Corporate leaderships;44;99;False;12;4.5;http://konect.cc/files/download.tsv.brunson_corporate-leadership.tar.bz2
10;Kangaroos;17;91;False;15;10.7059;http://konect.cc/files/download.tsv.moreno_kangaroo.tar.bz2
11;Iceland;75;114;False;24;3.04;http://konect.cc/files/download.tsv.iceland.tar.bz2
12;Wikiquote edits (kr);39;37;False;8;1.89744;http://konect.cc/files/download.tsv.edit-krwikiquote.tar.bz2
13;Contiguous USA;49;107;False;8;4.36735;http://konect.cc/files/download.tsv.contiguous-usa.tar.bz2
14;Rhesus macaques;16;111;True;20;13.875;http://konect.cc/files/download.tsv.moreno_rhesus.tar.bz2
15;Dolphins;62;159;False;12;5.12903;http://konect.cc/files/download.tsv.dolphins.tar.bz2
16;Chesapeake Bay;39;170;False;33;8.71795;http://konect.cc/files/download.tsv.dimacs10-chesapeake.tar.bz2
17;American Revolution;141;160;False;59;2.2695;http://konect.cc/files/download.tsv.brunson_revolution.tar.bz2
18;Wikibooks edits (gn);68;62;False;8;1.82353;http://konect.cc/files/download.tsv.edit-gnwikibooks.tar.bz2
19;Wikibooks edits (rm);70;67;False;8;1.91429;http://konect.cc/files/download.tsv.edit-rmwikibooks.tar.bz2
20;Wikiquote edits (ang);59;68;False;14;2.30508;http://konect.cc/files/download.tsv.edit-angwikisource.tar.bz2
21;Wikiquote edits (ks);77;70;False;10;1.81818;http://konect.cc/files/download.tsv.edit-kswikiquote.tar.bz2
22;Wikibooks edits (bm);79;75;False;8;1.89873;http://konect.cc/files/download.tsv.edit-bmwikibooks.tar.bz2
23;Wikiquote edits (bm);84;77;False;8;1.83333;http://konect.cc/files/download.tsv.edit-bmwikiquote.tar.bz2
24;Crisis in a Cloister;18;189;True;28;21.0;http://konect.cc/files/download.tsv.moreno_sampson.tar.bz2
25;Wikibooks edits (bi);78;79;False;10;2.02564;http://konect.cc/files/download.tsv.edit-biwikibooks.tar.bz2
26;Cattle;28;217;True;24;15.5;http://konect.cc/files/download.tsv.moreno_cattle.tar.bz2
27;PDZBase;212;244;False;21;2.30189;http://konect.cc/files/download.tsv.maayan-pdzbase.tar.bz2
28;Wiktionary edits (rn);89;88;False;19;1.97753;http://konect.cc/files/download.tsv.edit-rnwiktionary.tar.bz2
29;Wiktionary edits (mh);83;92;False;21;2.21687;http://konect.cc/files/download.tsv.edit-mhwiktionary.tar.bz2
30;Pro League (2016/2017);16;239;True;30;29.875;http://konect.cc/files/download.tsv.league-be1-2016.tar.bz2
31;Wikiquote edits (tk);93;95;False;13;2.04301;http://konect.cc/files/download.tsv.edit-tkwikiquote.tar.bz2
32;Wiktionary edits (ch);103;98;False;12;1.90291;http://konect.cc/files/download.tsv.edit-chwiktionary.tar.bz2
33;Train bombing;64;243;False;29;7.59375;http://konect.cc/files/download.tsv.moreno_train.tar.bz2
34;Wikiquote edits (ug);93;100;False;12;2.15054;http://konect.cc/files/download.tsv.edit-ugwikiquote.tar.bz2
35;Wiktionary edits (av);107;100;False;11;1.86916;http://konect.cc/files/download.tsv.edit-avwiktionary.tar.bz2
36;Sheep;28;250;True;26;17.8571;http://konect.cc/files/download.tsv.moreno_sheep.tar.bz2
37;Wiktionary edits (ak);119;100;False;14;1.68067;http://konect.cc/files/download.tsv.edit-akwiktionary.tar.bz2
38;Gene fusion;291;279;False;34;1.91753;http://konect.cc/files/download.tsv.gene_fusion.tar.bz2
39;Wikibooks edits (ks);89;110;False;25;2.47191;http://konect.cc/files/download.tsv.edit-kswikibooks.tar.bz2
40;Les Misérables;77;254;False;36;6.5974;http://konect.cc/files/download.tsv.moreno_lesmis.tar.bz2
41;Wikibooks edits (ch);84;112;False;26;2.66667;http://konect.cc/files/download.tsv.edit-chwikibooks.tar.bz2
42;Wikibooks edits (as);102;116;False;28;2.27451;http://konect.cc/files/download.tsv.edit-aswikibooks.tar.bz2
43;Wikibooks edits (my);98;123;False;22;2.5102;http://konect.cc/files/download.tsv.edit-mywikibooks.tar.bz2
44;Wikibooks edits (aa);115;119;False;21;2.06957;http://konect.cc/files/download.tsv.edit-aawikibooks.tar.bz2
45;Bundesliga (2016/2017);18;306;True;34;34.0;http://konect.cc/files/download.tsv.league-de1-2016.tar.bz2
46;Wikibooks edits (nah);97;122;False;30;2.51546;http://konect.cc/files/download.tsv.edit-nahwikibooks.tar.bz2
47;Bison;26;314;True;39;24.1538;http://konect.cc/files/download.tsv.moreno_bison.tar.bz2
48;Wikibooks edits (got);90;127;False;33;2.82222;http://konect.cc/files/download.tsv.edit-gotwikibooks.tar.bz2
49;Wiktionary edits (cr);106;124;False;33;2.33962;http://konect.cc/files/download.tsv.edit-crwiktionary.tar.bz2
50;Wikiquote edits (als);111;124;False;33;2.23423;http://konect.cc/files/download.tsv.edit-alswikiquote.tar.bz2
51;Wikiquote edits (tt);93;130;False;32;2.7957;http://konect.cc/files/download.tsv.edit-ttwikiquote.tar.bz2
52;Wikibooks edits (qu);100;134;False;53;2.68;http://konect.cc/files/download.tsv.edit-quwikibooks.tar.bz2
53;David Copperfield;112;425;False;49;7.58929;http://konect.cc/files/download.tsv.adjnoun_adjacency.tar.bz2
54;Windsurfers;43;336;False;31;15.6279;http://konect.cc/files/download.tsv.moreno_beach.tar.bz2
55;Wikiquote edits (vo);100;139;False;37;2.78;http://konect.cc/files/download.tsv.edit-vowikiquote.tar.bz2
56;Political books;105;441;False;25;8.4;http://konect.cc/files/download.tsv.dimacs10-polbooks.tar.bz2
57;Wikibooks edits (se);110;141;False;42;2.56364;http://konect.cc/files/download.tsv.edit-sewikibooks.tar.bz2
58;Wikibooks edits (bo);105;142;False;43;2.70476;http://konect.cc/files/download.tsv.edit-bowikibooks.tar.bz2
59;Seventh graders;29;376;True;43;25.931;http://konect.cc/files/download.tsv.moreno_seventh.tar.bz2
60;Wiktionary edits (xh);141;147;False;34;2.08511;http://konect.cc/files/download.tsv.edit-xhwiktionary.tar.bz2
61;Wikibooks edits (ug);107;150;False;43;2.80374;http://konect.cc/files/download.tsv.edit-ugwikibooks.tar.bz2
62;Ligue 1 (2016/2017);20;380;True;38;38.0;http://konect.cc/files/download.tsv.league-fr1-2016.tar.bz2
63;Premier League (2013/2014);20;380;True;38;38.0;http://konect.cc/files/download.tsv.league-uk1-2013.tar.bz2
64;Highschool;70;366;True;23;10.4571;http://konect.cc/files/download.tsv.moreno_highschool.tar.bz2
65;Wikibooks edits (mi);94;155;False;49;3.29787;http://konect.cc/files/download.tsv.edit-miwikibooks.tar.bz2
66;Wikiquote edits (ga);112;157;False;49;2.80357;http://konect.cc/files/download.tsv.edit-gawikiquote.tar.bz2
67;Wiktionary edits (rm);142;156;False;74;2.19718;http://konect.cc/files/download.tsv.edit-rmwiktionary.tar.bz2
68;Wikibooks edits (ak);121;164;False;73;2.71074;http://konect.cc/files/download.tsv.edit-akwikibooks.tar.bz2
69;Wiktionary edits (aa);139;171;False;39;2.46043;http://konect.cc/files/download.tsv.edit-aawiktionary.tar.bz2
70;Hens;32;496;True;31;31.0;http://konect.cc/files/download.tsv.moreno_hens.tar.bz2
71;Wikibooks edits (gu);115;182;False;65;3.16522;http://konect.cc/files/download.tsv.edit-guwikibooks.tar.bz2
72;Wiktionary edits (bm);119;179;False;50;3.0084;http://konect.cc/files/download.tsv.edit-bmwiktionary.tar.bz2
73;Wikibooks edits (wa);171;187;False;55;2.18713;http://konect.cc/files/download.tsv.edit-wawikibooks.tar.bz2
74;Wikibooks edits (ln);114;195;False;51;3.42105;http://konect.cc/files/download.tsv.edit-lnwikibooks.tar.bz2
75;Wikibooks edits (yo);147;193;False;40;2.62585;http://konect.cc/files/download.tsv.edit-yowikibooks.tar.bz2
76;American football;115;613;False;12;10.6609;http://konect.cc/files/download.tsv.dimacs10-football.tar.bz2
77;Wikiquote edits (kk);176;200;False;53;2.27273;http://konect.cc/files/download.tsv.edit-kkwikiquote.tar.bz2
78;Wiktionary edits (bo);195;204;False;74;2.09231;http://konect.cc/files/download.tsv.edit-bowiktionary.tar.bz2
79;Wikibooks edits (xh);167;202;False;55;2.41916;http://konect.cc/files/download.tsv.edit-xhwikibooks.tar.bz2
80;Wikibooks edits (lb);175;208;False;56;2.37714;http://konect.cc/files/download.tsv.edit-lbwikibooks.tar.bz2
81;Wikipedia edits (mus);163;221;False;53;2.71166;http://konect.cc/files/download.tsv.edit-muswiki.tar.bz2
82;Similarities (DBpedia);430;565;False;16;2.62791;http://konect.cc/files/download.tsv.dbpedia-similar.tar.bz2
83;Wikibooks edits (za);190;233;False;55;2.45263;http://konect.cc/files/download.tsv.edit-zawikibooks.tar.bz2
84;Wiktionary edits (sc);123;240;False;59;3.90244;http://konect.cc/files/download.tsv.edit-scwiktionary.tar.bz2
85;Wiktionary edits (bi);244;245;False;78;2.0082;http://konect.cc/files/download.tsv.edit-biwiktionary.tar.bz2
86;Wiktionary edits (to);248;248;False;78;2.0;http://konect.cc/files/download.tsv.edit-towiktionary.tar.bz2
87;Wiktionary edits (yo);237;254;False;78;2.14346;http://konect.cc/files/download.tsv.edit-yowiktionary.tar.bz2
88;Wikibooks edits (ps);174;257;False;56;2.95402;http://konect.cc/files/download.tsv.edit-pswikibooks.tar.bz2
89;Wiktionary edits (tw);260;273;False;78;2.1;http://konect.cc/files/download.tsv.edit-twwiktionary.tar.bz2
90;Wiktionary edits (dz);260;274;False;78;2.10769;http://konect.cc/files/download.tsv.edit-dzwiktionary.tar.bz2
91;Wikibooks edits (kn);204;278;False;57;2.72549;http://konect.cc/files/download.tsv.edit-knwikibooks.tar.bz2
92;Wikibooks edits (nds);244;286;False;79;2.34426;http://konect.cc/files/download.tsv.edit-ndswikibooks.tar.bz2
93;Wiktionary edits (bh);268;289;False;78;2.15672;http://konect.cc/files/download.tsv.edit-bhwiktionary.tar.bz2
94;Wikipedia edits (kj);160;296;False;66;3.7;http://konect.cc/files/download.tsv.edit-kjwiki.tar.bz2
95;Wiktionary edits (sn);270;295;False;78;2.18519;http://konect.cc/files/download.tsv.edit-snwiktionary.tar.bz2
96;Wikibooks edits (sw);264;297;False;93;2.25;http://konect.cc/files/download.tsv.edit-swwikibooks.tar.bz2
97;Wikiquote edits (ht);153;315;False;140;4.11765;http://konect.cc/files/download.tsv.edit-htwikisource.tar.bz2
98;Wiktionary edits (as);300;310;False;80;2.06667;http://konect.cc/files/download.tsv.edit-aswiktionary.tar.bz2
99;Wikiquote edits (co);270;315;False;106;2.33333;http://konect.cc/files/download.tsv.edit-cowikiquote.tar.bz2
100;Wikibooks edits (als);270;323;False;89;2.39259;http://konect.cc/files/download.tsv.edit-alswikibooks.tar.bz2
101;Wikipedia edits (ho);181;345;False;88;3.81215;http://konect.cc/files/download.tsv.edit-howiki.tar.bz2
102;Congress votes;219;764;True;50;6.97717;http://konect.cc/files/download.tsv.convote.tar.bz2
103;Wiktionary edits (mo);271;359;False;78;2.64945;http://konect.cc/files/download.tsv.edit-mowiktionary.tar.bz2
104;Wikibooks edits (zu);271;356;False;92;2.62731;http://konect.cc/files/download.tsv.edit-zuwikibooks.tar.bz2
105;Wiktionary edits (ab);289;383;False;176;2.65052;http://konect.cc/files/download.tsv.edit-abwiktionary.tar.bz2
106;Wikibooks edits (tk);307;373;False;100;2.42997;http://konect.cc/files/download.tsv.edit-tkwikibooks.tar.bz2
107;Wikibooks edits (mn);253;388;False;102;3.06719;http://konect.cc/files/download.tsv.edit-mnwikibooks.tar.bz2
108;Physicians;241;1098;True;34;9.11203;http://konect.cc/files/download.tsv.moreno_innovation.tar.bz2
109;Wikibooks edits (na);300;414;False;136;2.76;http://konect.cc/files/download.tsv.edit-nawikibooks.tar.bz2
110;Wikipedia edits (kr);221;456;False;147;4.1267;http://konect.cc/files/download.tsv.edit-krwiki.tar.bz2
111;Wikibooks edits (ast);362;447;False;108;2.46961;http://konect.cc/files/download.tsv.edit-astwikibooks.tar.bz2
112;Wikipedia edits (hz);245;457;False;86;3.73061;http://konect.cc/files/download.tsv.edit-hzwiki.tar.bz2
113;Japanese macaques;62;1187;True;57;38.2903;http://konect.cc/files/download.tsv.moreno_mac.tar.bz2
114;Wikibooks edits (vo);394;499;False;121;2.53299;http://konect.cc/files/download.tsv.edit-vowikibooks.tar.bz2
115;Wikibooks edits (co);329;500;False;94;3.03951;http://konect.cc/files/download.tsv.edit-cowikibooks.tar.bz2
116;Wikibooks edits (su);433;525;False;138;2.42494;http://konect.cc/files/download.tsv.edit-suwikibooks.tar.bz2
117;Wikipedia edits (cho);278;540;False;98;3.88489;http://konect.cc/files/download.tsv.edit-chowiki.tar.bz2
118;Wikibooks edits (uz);500;565;False;177;2.26;http://konect.cc/files/download.tsv.edit-uzwikibooks.tar.bz2
119;Euroroads;1174;1417;False;10;2.41397;http://konect.cc/files/download.tsv.subelj_euroroad.tar.bz2
120;Wikipedia edits (ii);251;616;False;209;4.90837;http://konect.cc/files/download.tsv.edit-iiwiki.tar.bz2
121;Wikiquote edits (ast);394;637;False;164;3.2335;http://konect.cc/files/download.tsv.edit-astwikiquote.tar.bz2
122;Wikiquote edits (am);555;630;False;182;2.27027;http://konect.cc/files/download.tsv.edit-amwikiquote.tar.bz2
123;Crime;1380;1476;False;25;2.13913;http://konect.cc/files/download.tsv.moreno_crime.tar.bz2
124;Wikipedia edits (din);197;690;False;145;7.00508;http://konect.cc/files/download.tsv.edit-dinwiki.tar.bz2
125;Wikipedia edits (mh);307;662;False;90;4.3127;http://konect.cc/files/download.tsv.edit-mhwiki.tar.bz2
126;Wikiquote edits (lb);423;667;False;108;3.15366;http://konect.cc/files/download.tsv.edit-lbwikiquote.tar.bz2
127;FilmTrust trust;874;1853;True;118;4.24027;http://konect.cc/files/download.tsv.librec-filmtrust-trust.tar.bz2
128;Caenorhabditis elegans (metabolic);453;2025;False;237;8.9404;http://konect.cc/files/download.tsv.dimacs10-celegans_metabolic.tar.bz2
129;Wikibooks edits (zh-min-nan);520;750;False;152;2.88462;http://konect.cc/files/download.tsv.edit-zh_min_nanwikibooks.tar.bz2
130;Wikibooks edits (lv);420;774;False;304;3.68571;http://konect.cc/files/download.tsv.edit-lvwikibooks.tar.bz2
131;Unicode languages;868;1255;False;141;2.89171;http://konect.cc/files/download.tsv.unicodelang.tar.bz2
