depth,time,prediction
1,1.66809,0
2,0.539028,0
2,0.526263,0
2,0.897269,0
3,0.16926,0
3,0.173372,0
3,0.338454,0
4,0.145322,1
4,0.129158,1
4,0.154395,1
4,0.145404,1
4,0.163345,1
4,0.170764,1
4,0.227404,0
4,0.199971,0
4,0.20933,0
5,0.122991,0
5,0.174917,1
5,0.172556,1
6,0.164617,0
6,0.137731,1
6,0.142893,1
7,0.162575,1
7,0.137366,1
7,0.159711,1
5,0.12357,0
5,0.136096,1
5,0.164346,0
6,0.165545,0
6,0.15068,1
6,0.149123,1
7,0.092675,1
7,0.145366,1
7,0.137748,1
6,0.228737,0
6,0.322094,1
6,0.327966,1
5,0.266325,1
5,0.266296,1
5,0.30797,0
7,0.187159,1
7,0.310918,0
7,0.203457,1
8,0.218692,1
8,0.209517,1
8,0.195787,1
6,0.257952,1
6,0.292043,0
6,0.300151,1
7,0.191069,1
7,0.172713,0
7,0.187946,1
8,0.164211,1
8,0.190944,1
8,0.286195,1
3,0.253293,1
3,0.274589,0
3,0.483681,0
4,0.197161,1
4,0.153021,0
4,0.192441,0
5,0.128782,1
5,0.155064,1
5,0.159433,1
5,0.238572,0
5,0.269811,1
5,0.250288,0
6,0.192696,0
6,0.232662,1
6,0.215657,1
7,0.108141,1
7,0.138561,1
7,0.179035,1
6,0.209006,1
6,0.213261,1
6,0.211429,1
4,0.23494,0
4,0.249125,1
4,0.301252,0
5,0.154029,0
5,0.165142,0
5,0.156395,1
6,0.180448,1
6,0.19255,1
6,0.214986,1
6,0.286054,1
6,0.307536,1
6,0.355436,0
7,0.154012,0
7,0.139271,1
7,0.13617,1
8,0.105574,1
8,0.114995,1
8,0.115183,1
5,0.282396,0
5,0.242329,0
5,0.252505,0
6,0.099745,1
6,0.121917,1
6,0.115153,1
6,0.143783,1
6,0.167864,0
6,0.149471,0
7,0.120834,1
7,0.157593,1
7,0.164291,1
7,0.150239,1
7,0.168368,1
7,0.148665,1
6,0.294626,1
6,0.280899,0
6,0.310986,0
7,0.142131,1
7,0.168716,0
7,0.186717,1
8,0.170852,1
8,0.150759,0
8,0.149587,1
7,0.175862,0
7,0.214715,1
9,0.236053,1
9,0.205748,1
7,0.350329,0
9,0.265005,1
8,0.250535,1
8,0.220554,1
8,0.21581,1
8,0.123054,1
8,0.130048,1
8,0.124762,1
3,0.254634,0
3,0.247955,0
3,0.620337,0
4,0.094278,1
4,0.175437,0
4,0.137565,1
4,0.12758,0
4,0.18471,0
4,0.186436,0
5,0.129741,1
5,0.140227,1
5,0.12865,1
5,0.169734,1
5,0.173221,1
5,0.16202,0
5,0.177929,0
5,0.181372,1
6,0.150662,1
6,0.184721,1
6,0.203327,1
5,0.110894,1
5,0.096973,1
5,0.158512,0
6,0.134972,1
6,0.142925,1
6,0.189884,0
7,0.231131,1
7,0.236306,1
7,0.265088,0
8,0.152967,0
8,0.176007,1
8,0.184054,0
6,0.191077,1
6,0.239346,1
6,0.267543,0
9,0.177683,1
9,0.178101,1
9,0.180323,1
9,0.16682,1
9,0.186184,1
9,0.177609,1
7,0.17657,1
7,0.185664,1
7,0.183785,1
4,0.422248,0
4,0.40941,0
4,0.411933,0
5,0.303467,0
5,0.27861,0
5,0.288226,0
6,0.147347,1
6,0.172792,1
6,0.160669,1
6,0.148097,1
6,0.182027,0
6,0.149668,1
7,0.14413,1
7,0.156489,1
7,0.170309,1
6,0.495898,1
6,0.454318,1
6,0.72504,0
7,0.17765,1
7,0.23125,0
7,0.276262,1
8,0.134922,1
8,0.14607,1
8,0.156997,1
5,0.217735,0
5,0.240577,0
5,0.221087,1
6,0.143763,1
6,0.163785,0
6,0.220143,0
7,0.302634,1
7,0.36226,0
7,0.574108,1
8,0.129852,1
8,0.122829,1
8,0.138624,1
6,0.153844,1
6,0.181155,1
6,0.232615,0
7,0.144663,1
7,0.148637,1
7,0.200663,0
8,0.470041,1
8,0.454098,1
8,0.570044,1
7,0.596073,0
7,0.57636,1
7,0.59227,1
8,0.509421,1
8,0.524888,1
8,0.534783,0
9,0.443884,1
9,0.454876,1
9,0.610243,0
10,0.3132,1
10,0.386928,0
10,0.341826,1
11,0.2439,1
11,0.260729,1
11,0.303389,1
5,0.34381,0
5,0.320502,0
5,0.437057,0
6,0.348802,1
6,0.355065,0
6,0.372834,0
7,0.26961,1
7,0.267025,1
7,0.41317,1
7,0.196321,0
7,0.266695,1
7,0.260502,1
8,0.248549,1
8,0.261365,1
8,0.297676,0
9,0.218968,1
9,0.24807,1
9,0.243428,1
6,0.17989,1
6,0.226982,0
6,0.210101,0
7,0.1429,1
7,0.156136,0
7,0.198508,0
7,0.260942,1
7,0.233329,1
7,0.249081,0
8,0.221999,1
8,0.191626,1
8,0.203946,1
8,0.198685,1
8,0.216789,1
8,0.220373,1
8,0.200506,1
8,0.1919,0
6,0.203627,0
6,0.192793,1
6,0.372578,0
8,0.202229,1
9,0.152963,1
9,0.172998,0
9,0.196799,0
7,0.163059,1
7,0.222814,1
7,0.237726,0
10,0.178561,1
10,0.225922,1
10,0.215887,1
10,0.182489,1
10,0.199645,1
10,0.210299,1
8,0.156772,1
8,0.159051,1
8,0.191591,0
9,0.189018,1
9,0.223873,1
9,0.230691,0
10,0.155174,1
10,0.180526,1
10,0.17846,1
7,0.142766,1
7,0.159035,0
7,0.179823,0
8,0.120605,1
8,0.138993,1
8,0.136603,1
8,0.189057,0
8,0.186105,1
8,0.191166,0
9,0.135525,1
9,0.139483,1
9,0.154222,1
9,0.124198,1
9,0.12131,1
9,0.13902,1
