Name,n,m,min_in,median_in_1,median_in_2,median_in_3,median_in_4,median_in_5,median_in_6,median_in_7,max_in,min_out,median_out_1,median_out_2,median_out_3,median_out_4,median_out_5,median_out_6,median_out_7,max_out
NR/inf-euroroad,1174,1417,0,1,1,1,1,1,1,2,4,0,0,1,1,1,1,2,2,9
NR/1138-bus,1138,2597,1,1,1,2,2,2,3,4,17,1,1,1,2,2,2,3,4,11
NR/bcsstm08,1074,1075,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
NR/bcsstm09,1083,1084,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
NR/bcsstm11,1473,1474,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
NR/saylr3,1000,2376,1,1,1,2,3,3,3,4,4,1,1,1,2,3,3,3,4,4
NR/sherman1,1000,2376,1,1,1,2,3,3,3,4,4,1,1,1,2,3,3,3,4,4
NR/SW-1000-3-0d2-trial3,999,999,0,0,1,1,1,1,1,2,4,0,1,1,1,1,1,1,1,4
NR/SW-1000-3-0d3-trial3,999,999,0,0,1,1,1,1,1,2,4,0,0,1,1,1,1,1,1,3
NR/road-euroroad,1174,1417,0,1,1,1,1,1,1,2,4,0,0,1,1,1,1,2,2,9
NR/bio-yeast,1458,1949,0,0,0,0,1,1,2,3,49,0,0,0,1,1,1,2,2,31
NR/GD96-a,1096,1678,1,1,1,1,1,1,1,1,111,0,1,1,1,1,1,2,2,17
NR/GL7d11,1019,1514,0,0,0,0,0,0,0,0,61,0,0,1,1,1,2,2,3,8
NR/M20PI-n,1182,2882,1,2,2,2,2,3,3,3,12,1,2,2,2,2,3,3,3,12
NR/M20PI-n1,1028,2548,0,2,2,2,2,3,3,3,8,0,2,2,2,2,3,3,3,8
NR/S20PI-n,1182,2882,1,2,2,2,2,3,3,3,12,1,2,2,2,2,3,3,3,12
NR/S20PI-n1,1028,2548,0,2,2,2,2,3,3,3,8,0,2,2,2,2,3,3,3,8
NR/bcspwr06,1454,3378,1,1,1,2,2,2,3,4,12,1,1,1,2,2,2,3,4,10
NR/ch7-8-b1,1176,2353,0,0,0,0,0,0,0,0,43,2,2,2,2,2,2,2,2,3
NR/gams60am,1071,2608,1,1,1,1,1,1,5,5,7,0,0,0,3,3,3,3,3,120
NR/lp-gfrd-pnc,1160,2446,1,2,2,2,2,2,2,3,3,0,0,0,0,2,3,4,5,12
NR/stufe,1036,1869,0,0,1,1,1,2,3,4,4,0,0,1,2,2,2,2,4,5
NR/delaunay-n10,1024,3057,0,1,1,2,3,3,4,5,9,0,0,1,2,3,4,4,5,11
NR/DD242,1284,3302,0,1,1,2,2,3,4,5,10,0,1,2,2,3,3,4,4,8
NR/jagmesh2,1009,3938,1,2,3,4,4,4,5,6,7,1,2,2,4,4,4,5,6,8
NR/jagmesh3,1089,4226,1,3,4,4,4,4,4,4,6,1,2,4,4,4,4,4,5,8
NR/jagmesh5,1180,4466,1,2,3,4,4,4,4,6,6,1,2,2,4,4,4,5,6,8
NR/jagmesh7,1138,4295,1,2,3,3,4,4,5,6,7,1,2,2,3,4,4,5,6,8
NR/jagmesh8,1141,4304,1,2,3,3,4,4,5,6,6,1,2,2,3,4,4,5,6,8
NR/lp-finnis,1064,2761,1,1,1,1,1,3,3,5,14,0,0,0,0,0,3,3,4,41
NR/lp-scrs8,1275,3289,1,1,2,2,3,3,3,3,8,0,0,0,0,0,2,3,3,37
NR/lp-standata,1274,3231,1,1,2,2,3,3,3,3,10,0,0,0,0,0,0,3,4,745
NR/lp-standgub,1383,3340,1,1,2,2,3,3,3,3,10,0,0,0,0,0,0,2,4,745
NR/lshp1009,1009,3938,1,2,3,4,4,4,5,6,7,1,2,2,4,4,4,5,6,8
NR/mk12-b1,1485,2971,0,0,0,0,0,0,0,0,46,2,2,2,2,2,2,2,2,3
NR/n2c6-b9,1470,3061,0,2,2,2,2,2,2,2,6,0,0,0,0,0,0,0,10,11
NR/olm1000,1000,3997,3,4,4,4,4,4,4,4,4,2,2,2,2,4,6,6,6,6
NR/sherman4,1104,3787,1,1,1,1,1,6,6,6,7,1,1,1,1,1,6,6,6,7
NR/small,1400,3208,0,0,1,1,2,2,3,4,11,0,0,0,0,0,3,3,6,19
NR/subelj-euroroad,2590,1417,0,0,0,0,858535476,873084977,889860920,0,0,0,1,1,2,858535476,873084977,889860920,0,0
NR/tols1090,1090,3547,1,1,1,1,1,1,5,5,22,1,1,2,2,2,2,2,2,90
NR/tub1000,1000,3997,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
NR/mammalia-voles-kcs-trapping,1218,4257,0,0,1,1,2,3,5,8,37,0,0,1,1,2,3,4,7,40
NR/mammalia-voles-plj-trapping,1263,3862,0,0,1,1,2,3,4,7,32,0,0,1,1,2,3,4,6,34
NR/b2-ss,1089,4229,1,2,2,2,2,3,7,7,11,1,2,2,3,3,4,5,6,11
